SeriesName,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Public spending on education, total (% of GDP)","Public spending on education, total (% of GDP)","Public spending on education, total (% of GDP)","Public spending on education, total (% of GDP)","Public spending on education, total (% of GDP)","Public spending on education, total (% of GDP)","Public spending on education, total (% of GDP)","Public spending on education, total (% of GDP)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, female (% net)","School enrollment, primary, female (% net)","School enrollment, primary, female (% net)","School enrollment, primary, female (% net)","School enrollment, primary, female (% net)","School enrollment, primary, female (% net)","School enrollment, primary, female (% net)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, primary, male (% net)","School enrollment, primary, male (% net)","School enrollment, primary, male (% net)","School enrollment, primary, male (% net)","School enrollment, primary, male (% net)","School enrollment, primary, male (% net)","School enrollment, primary, male (% net)","School enrollment, primary, male (% net)","School enrollment, secondary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, female (% net)","School enrollment, secondary, female (% net)","School enrollment, secondary, female (% net)","School enrollment, secondary, female (% net)","School enrollment, secondary, female (% net)","School enrollment, secondary, female (% net)","School enrollment, secondary, female (% net)","School enrollment, secondary, female (% net)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% net)","School enrollment, secondary, male (% net)","School enrollment, secondary, male (% net)","School enrollment, secondary, male (% net)","School enrollment, secondary, male (% net)","School enrollment, secondary, male (% net)","School enrollment, secondary, male (% net)","School enrollment, secondary, male (% net)","School enrollment, secondary, male (% net)","Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)"
SeriesCode,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.ZS,SE.ADT.LITR.ZS,SE.ADT.LITR.ZS,SE.ADT.LITR.ZS,SE.ADT.LITR.ZS,SE.ADT.LITR.ZS,SE.ADT.LITR.ZS,SE.ADT.LITR.ZS,SE.ADT.LITR.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,SE.PRM.ENRR,SE.PRM.ENRR,SE.PRM.ENRR,SE.PRM.ENRR,SE.PRM.ENRR,SE.PRM.ENRR,SE.PRM.ENRR,SE.PRM.ENRR,SE.PRM.ENRR,SE.PRM.NENR.FE,SE.PRM.NENR.FE,SE.PRM.NENR.FE,SE.PRM.NENR.FE,SE.PRM.NENR.FE,SE.PRM.NENR.FE,SE.PRM.NENR.FE,SE.PRM.NENR.FE,SE.PRM.NENR.FE,SE.PRM.NENR.MA,SE.PRM.NENR.MA,SE.PRM.NENR.MA,SE.PRM.NENR.MA,SE.PRM.NENR.MA,SE.PRM.NENR.MA,SE.PRM.NENR.MA,SE.PRM.NENR.MA,SE.PRM.NENR.MA,SE.SEC.ENRR,SE.SEC.ENRR,SE.SEC.ENRR,SE.SEC.ENRR,SE.SEC.ENRR,SE.SEC.ENRR,SE.SEC.ENRR,SE.SEC.ENRR,SE.SEC.ENRR,SE.SEC.NENR.FE,SE.SEC.NENR.FE,SE.SEC.NENR.FE,SE.SEC.NENR.FE,SE.SEC.NENR.FE,SE.SEC.NENR.FE,SE.SEC.NENR.FE,SE.SEC.NENR.FE,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.NENR.MA,SE.SEC.NENR.MA,SE.SEC.NENR.MA,SE.SEC.NENR.MA,SE.SEC.NENR.MA,SE.SEC.NENR.MA,SE.SEC.NENR.MA,SE.SEC.NENR.MA,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS
CountryName,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa
CountryCode,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF,CHN,CAN,MEX,MOZ,IND,USA,VNM,LBR,ZAF
2005,NULL,NULL,90.2104110717773,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93.1904067993164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91.6302719116211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.76588010787964,4.84568977355957,4.00578022003174,3.18875002861023,NULL,NULL,NULL,5.06319999694824,NULL,97.3645706176758,108.60083770752,100.371620178223,NULL,101.8740234375,97.7213516235352,NULL,105.948272705078,NULL,NULL,NULL,71.27924,NULL,95.41847,NULL,NULL,88.85118,NULL,NULL,NULL,79.46531,NULL,94.16765,NULL,NULL,88.44383,NULL,101.391189575195,82.3040771484375,13.4446897506714,53.9690589904785,95.0524826049805,NULL,NULL,87.3967132568359,NULL,NULL,67.17648,6.19617,NULL,90.70646,NULL,NULL,69.10643,NULL,NULL,66.17629,7.96448,NULL,88.05048,NULL,NULL,63.2598,NULL,NULL,99.6275405883789,49.5656089782715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100.573638916016,41.8289184570313,NULL,NULL,93.7576904296875,NULL,NULL
2006,NULL,NULL,89.8345108032227,NULL,50.8237609863281,NULL,NULL,NULL,NULL,NULL,NULL,93.9011993408203,NULL,75.1919021606445,NULL,NULL,NULL,NULL,NULL,NULL,91.7345199584961,NULL,62.7544708251953,NULL,NULL,NULL,NULL,NULL,NULL,4.69992017745972,3.87146997451782,3.14284992218018,NULL,NULL,NULL,5.07256984710693,100.993278503418,98.8806304931641,108.174766540527,102.430732727051,NULL,NULL,98.1253128051758,95.1388320922852,106.250091552734,NULL,NULL,NULL,75.39822,NULL,NULL,NULL,36.13472,NULL,NULL,NULL,NULL,83.07627,NULL,NULL,NULL,36.03864,NULL,71.3284530639648,101.728248596191,84.0856018066406,15.7259302139282,54.8829383850098,NULL,NULL,NULL,90.6488265991211,NULL,NULL,68.68108,8.01473,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66.99611,9.92302,NULL,NULL,NULL,NULL,NULL,91.8222732543945,NULL,100.1787109375,48.7002983093262,NULL,NULL,NULL,72.2957077026367,NULL,91.6324234008789,NULL,100.888198852539,41.263801574707,NULL,NULL,97.4443435668945,66.6262588500977,NULL
2007,NULL,NULL,91.3555526733398,NULL,NULL,NULL,NULL,27.0349102020264,87.043098449707,NULL,NULL,94.4415130615234,NULL,NULL,NULL,NULL,60.7748107910156,90.7175903320313,NULL,NULL,92.7951736450195,NULL,NULL,NULL,NULL,42.9410781860352,88.7172470092773,NULL,4.7664098739624,4.69050979614258,NULL,NULL,NULL,NULL,NULL,4.97414016723633,100.707046508789,98.9664764404297,108.799713134766,108.182220458984,110.020118713379,NULL,99.7887420654297,NULL,108.024749755859,NULL,NULL,NULL,80.40001,90.92672,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.07823,91.30154,NULL,NULL,NULL,NULL,76.7876586914063,101.90348815918,84.9070510864258,18.4080696105957,57.2758712768555,NULL,NULL,NULL,92.3353729248047,NULL,NULL,70.21508,9.48448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67.66535,11.69815,NULL,NULL,NULL,NULL,NULL,93.6427536010742,NULL,101.396469116211,52.4820899963379,NULL,NULL,NULL,NULL,NULL,93.3478927612305,NULL,101.960693359375,45.4418983459473,NULL,NULL,NULL,NULL,NULL
2008,NULL,NULL,91.45361328125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94.5921630859375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92.9255981445313,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.62612009048462,4.82006978988647,NULL,NULL,NULL,4.88674020767212,1.70166003704071,4.86600017547607,100.74243927002,98.013313293457,109.424423217773,112.051933288574,110.697380065918,NULL,101.658752441406,95.8092422485352,107.526397705078,NULL,NULL,NULL,83.94941,91.95885,NULL,NULL,42.36552,NULL,NULL,NULL,NULL,91.26105,89.90597,NULL,NULL,45.17725,NULL,81.7128372192383,102.344436645508,86.4275283813477,20.5702209472656,60.3564910888672,NULL,NULL,NULL,90.8973999023438,NULL,NULL,71.19059,11.10996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68.04242,13.34227,NULL,NULL,NULL,NULL,NULL,99.7163467407227,NULL,100.884307861328,65.742057800293,94.074592590332,NULL,NULL,67.9871063232422,NULL,99.2769393920898,NULL,101.29035949707,58.1326293945313,94.7575836181641,NULL,NULL,62.9172210693359,NULL
2009,NULL,NULL,92.1162490844727,36.452278137207,NULL,NULL,91.3790893554688,NULL,91.7681579589844,NULL,NULL,94.9165725708008,67.3546981811523,NULL,NULL,95.7853317260742,NULL,94.1214599609375,NULL,NULL,93.4418792724609,50.5838088989258,NULL,NULL,93.5204467773438,NULL,92.8948593139648,NULL,4.84057998657227,5.18794012069702,NULL,3.27824997901917,NULL,4.81650018692017,NULL,5.24869012832642,100.006103515625,99.0087966918945,110.545280456543,111.904968261719,109.451072692871,NULL,102.321250915527,102.363586425781,106.341697692871,NULL,NULL,NULL,85.455,92.31843,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91.73927,89.17164,NULL,NULL,NULL,NULL,85.4514083862305,102.734443664551,85.9380111694336,23.2437705993652,59.6136512756348,NULL,NULL,NULL,92.5119018554688,NULL,NULL,71.4186,13.5091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67.98211,15.66697,NULL,NULL,NULL,NULL,NULL,98.8539276123047,NULL,99.7133178710938,61.6543006896973,94.6190185546875,NULL,NULL,67.8507385253906,NULL,98.2946319580078,NULL,99.8245162963867,55.2690582275391,95.7462921142578,NULL,NULL,62.0882301330566,NULL
2010,92.7112274169922,NULL,91.8534164428711,NULL,NULL,NULL,NULL,NULL,91.7139892578125,97.4794616699219,NULL,94.3839416503906,NULL,NULL,NULL,NULL,NULL,94.1438522338867,95.1244812011719,NULL,93.0689392089844,NULL,NULL,NULL,NULL,NULL,92.8773193359375,3.75464010238647,5.356369972229,5.15922021865845,5.95292997360229,3.377690076828,NULL,5.13721990585327,NULL,5.72173976898193,98.9642181396484,98.6416015625,110.633491516113,112.532577514648,109.101371765137,NULL,105.709167480469,NULL,104.729377746582,NULL,NULL,NULL,86.69391,92.35823,93.51886,NULL,NULL,NULL,NULL,NULL,NULL,92.99847,89.70653,93.23588,NULL,NULL,NULL,88.1734008789063,102.398483276367,87.0699234008789,25.2264099121094,63.1161994934082,NULL,NULL,NULL,93.7371978759766,NULL,NULL,71.64942,14.97363,NULL,89.18024,NULL,NULL,NULL,NULL,NULL,68.55751,16.98501,NULL,87.62882,NULL,NULL,NULL,NULL,NULL,100.020286560059,64.4810562133789,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100.239387512207,58.9948501586914,NULL,NULL,NULL,NULL,NULL
