event_id,Event,Country Name,Country Code,Start Date,End Date,Start Month,End Month,Start Year,End Year,Description,Outcome
42,First same-sex marriage ,Mexico,MEX,28,28,3,3,2013,2013,First same-sex marriage performed in Oaxaca[,Victory of history in Mexico
43,Prime interest rates cut,Mexico,MEX,8,8,3,3,2013,2013,Bank of Mexico (Banixco) cuts prime interest rates to 4.50%,Economical improvement
44,43 killed in major offensive against drug cartel,Mexico,MEX,22,22,5,5,2015,2015,Biggest official death toll,Caused serious social problem
45,Puebla earthquake,Mexico,MEX,19,19,9,9,2017,2017,Massive Earthquake,Impacted economics
46,Mexico City Pollution,Mexico,MEX,19,19,10,10,2019,2019,Residents urged stay indoors,Impacted citizen's health condition
47,Serious Floods,Mexico,MEX,1,31,6,6,2018,2018,Floods cause multiple problems throughout the country,Massive economical loss
48,First Presidential debate,Mexico,MEX,22,22,4,4,2018,2018,"First Presidential debate, in Mexico City",Watched by 11.4 million peoples
49,United States-Mexico-Canada Agreement,Mexico,MEX,1,1,7,7,2020,2020,Free Trade Agreement,Helped economic grouth
50,Mozambican protests,Mozambique,MOZ,1,7,9,9,2010,2010,A series of food riots and deadly mass demonstrations sparked by spiralling food inflation and unemployment,The wave of unprecedented violence was the biggest since the end of the Mozambican Civil War
51,2011 All-Africa Games,Mozambique,MOZ,3,18,9,9,2011,2011,Mozambique hosted the 2011 All-Africa Games from September 3 to September 18,Proofed decent economical grouth
52,Poisoned beer death,Mozambique,MOZ,12,12,1,1,2015,2015,The competing theory is that the actual poison may have been cardiac glycosides found in local plants,"The death toll from the poisoned beer rises to at least 69, with 169 in hospital"
53,The tropical cyclone Dineo,Mozambique,MOZ,15,15,2,2,2017,2017,The tropical cyclone Dineo struck the coast of Mozambique,"At least seven people were killed across the country, and an estimated 20,000 homes were destroyed and approximately 130,000 people were directly affected"
54,2018 FIBA Under-18 Women's African Championship,Mozambique,MOZ,29,5,7,8,2018,2018,Mozambique hosted the 2018 FIBA Under-18 Women's African Championship,Showed ability of holding sport events
55,2008 Summer Olympics,Mozambique,MOZ,5,21,8,8,2008,2008,"Mozambique competed in the 2008 Summer Olympics held in Beijing, People's Republic of China",Improved exposure in international sport events
